Starting up run ID 5D58BD, poll time is 5m, back testing is True
Starting up run ID D38945, poll time is 5m, back testing is True
Starting up run ID 25C059, poll time is 5m, back testing is True
Starting up run ID C69DC6, poll time is 5m, back testing is True
Starting up run ID D240F8, poll time is 5m, back testing is True
Starting up run ID 15C73D, poll time is 5m, back testing is True
Starting up run ID 2FDD18, poll time is 5m, back testing is True
Starting up run ID 8E854A, poll time is 5m, back testing is True
Starting up run ID B5E1E0, poll time is 5m, back testing is True
Starting up run ID 99EEB7, poll time is 5m, back testing is True
Starting up run ID AB202A, poll time is 5m, back testing is True
Starting up run ID D019E9, poll time is 5m, back testing is True
Starting up run ID 254810, poll time is 5m, back testing is True
Starting up run ID 49BA7F, poll time is 5m, back testing is True
Starting up run ID D815AC, poll time is 5m, back testing is True
Starting up run ID E2D832, poll time is 5m, back testing is True
Starting up run ID F91DBC, poll time is 5m, back testing is True
Starting up run ID F830F4, poll time is 5m, back testing is True
Starting up run ID 6A85A1, poll time is 5m, back testing is True
Starting up run ID 9C374D, poll time is 5m, back testing is True
Starting up run ID 72B8E2, poll time is 5m, back testing is False
Finished analysing 2022-05-26 14:45:00+00:00, sleeping for 291.0s
Finished analysing 2022-05-26 14:50:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 14:55:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:00:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:15:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:30:00+00:00, sleeping for 294.0s
Finished analysing 2022-05-26 15:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:40:00+00:00, sleeping for 294.0s
Finished analysing 2022-05-26 15:45:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:50:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 15:55:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:00:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:10:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 16:15:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 16:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:30:00+00:00, sleeping for 294.0s
Finished analysing 2022-05-26 16:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:40:00+00:00, sleeping for 294.0s
Finished analysing 2022-05-26 16:45:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 16:50:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 16:55:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 17:00:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:15:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:30:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:40:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:45:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 17:50:00+00:00, sleeping for 293.0s
